id,nome_eleitoral,sg_partido,uf
73891,DARCÍSIO PERONDI,MDB,RS
141412,DAVI ALVES SILVA JÚNIOR,PL,MA
101309,DAVIDSON MAGALHÃES,PCdoB,BA
141413,DÉCIO LIMA,PT,SC
196357,DEJORGE PATRÍCIO,PRB,RJ
178908,DELEGADO ÉDER MAURO,PSD,PA
178893,DELEGADO EDSON MOREIRA,PL,MG
160646,DELEGADO FRANCISCHINI,PSL,PR
164359,DELEGADO WALDIR,PSL,GO
74172,DELEY,PTB,RJ
185500,DEOCLIDES MACEDO,PDT,MA
160588,DIEGO ANDRADE,PSD,MG
178929,DIEGO GARCIA,PODEMOS,PR
73768,DILCEU SPERAFICO,PP,PR
160599,DIMAS FABIANO,PP,MG
143632,DOMINGOS NETO,PSD,CE
160758,DOMINGOS SÁVIO,PSDB,MG
178940,DR. JOÃO,PL,RJ
160643,DR. JORGE SILVA,SOLIDARIEDADE,ES
178830,DR. SINVAL MALHEIROS,PODEMOS,SP
141385,DUARTE NOGUEIRA,PSDB,SP
178994,DULCE MIRANDA,MDB,TO
73447,EDINHO ARAÚJO,MDB,SP
73793,EDINHO BEZ,MDB,SC
141417,EDIO LOPES,PL,RR
160578,EDMAR ARRUDA,PSD,PR
134812,EDMILSON RODRIGUES,PSOL,PA
74655,EDUARDO BARBOSA,PSDB,MG
92346,EDUARDO BOLSONARO,PSL,SP
74173,EDUARDO CUNHA,MDB,RJ
178977,EDUARDO CURY,PSDB,SP
141421,EDUARDO DA FONTE,PP,PE
141422,EFRAIM FILHO,DEM,PB
74075,ELCIONE BARBALHO,MDB,PA
160532,ELI CORRÊA FILHO,DEM,SP
181316,ELIZEU DIONIZIO,PSB,MS
178883,ELIZIANE GAMA,CIDADANIA,MA
178854,ELMAR NASCIMENTO,DEM,BA
132504,ENIO VERRI,PT,PR
160575,ERIKA KOKAY,PT,DF
99654,ERIVELTON SANTANA,PATRI,BA
171782,ERON BEZERRA,PCdoB,AM
160640,EROS BIONDINI,PROS,MG
160649,ESPERIDIÃO AMIN,PP,SC
202915,EURICELIA CARDOSO,PP,AP
178871,EVAIR VIEIRA DE MELO,PP,ES
178828,EVANDRO GUSSI,PV,SP
178930,EVANDRO ROMAN,PSD,PR
178953,EXPEDITO NETTO,PSD,RO
178904,EZEQUIEL FONSECA,PP,MT
178941,EZEQUIEL TEIXEIRA,PODEMOS,RJ
146829,FABIANO HORTA,PT,RJ
141428,FÁBIO FARIA,PSD,RN
178905,FABIO GARCIA,DEM,MT
178969,FÁBIO MITIDIERI,PSD,SE
141427,FÁBIO RAMALHO,MDB,MG
171623,FABIO REIS,MDB,SE
178877,FÁBIO SOUSA,PSDB,GO
160587,FÁBIO TRAD,PSD,MS
190149,FABRICIO OLIVEIRA,PSB,SC
74065,FÁTIMA PELAES,MDB,AP
66828,FAUSTO PINATO,PP,SP
141430,FELIPE BORNIER,PROS,RJ
72442,FELIPE CARRERAS,PSB,PE
141429,FELIPE MAIA,DEM,RN
205234,FELIPE SOUZA,PHS,AM
160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA
141431,FERNANDO COELHO FILHO,DEM,PE
163831,FERNANDO JORDÃO,MDB,RJ
73481,FERNANDO MARRONI,PT,RS
92699,FERNANDO MONTEIRO,PP,PE
160676,FERNANDO TORRES,PSD,BA
160598,FLÁVIA MORAIS,PDT,GO
141434,FLAVIANO MELO,MDB,AC
178978,FLAVINHO,PSC,SP
191923,FLAVIO NOGUEIRA,PDT,PI
178979,FLORIANO PESARO,PSDB,SP
178907,FRANCISCO CHAPADINHA,PODEMOS,PA
160677,FRANCISCO FLORIANO,DEM,RJ
186775,FRANKLIN,PP,MG
74189,FREIRE JÚNIOR,MDB,TO
204651,FREITAS DO PT,PT,TO
129037,GABRIEL GUIMARÃES,PT,MG
160669,GENECIAS NORONHA,SOLIDARIEDADE,CE
141441,GEORGE HILTON,PSC,MG
178966,GEOVANIA DE SÁ,PSDB,SC
74374,GERALDO RESENDE,PSDB,MS
74383,GIACOBO,PL,PR
74270,GILBERTO NASCIMENTO,PSC,SP
160673,GIOVANI CHERINI,PL,RS
178996,GIOVANI FELTES,MDB,RS
74077,GIOVANNI QUEIROZ,PDT,PA
178878,GIUSEPPE VECCI,PSDB,GO
74558,GIVALDO CARIMBÃO,AVANTE,AL
178872,GIVALDO VIEIRA,PCdoB,ES
152605,GLAUBER BRAGA,PSOL,RJ
74419,GONZAGA PATRIOTA,PSB,PE
129618,GORETE PEREIRA,PL,CE
178980,GOULART,PSD,SP
194259,GUILHERME COELHO,PSDB,PE
160667,GUILHERME MUSSI,PP,SP
205298,GUSTAVO MITRE,PHS,MG
178964,HEITOR SCHUCH,PSB,RS
178873,HELDER SALOMÃO,PT,ES
178909,HÉLIO LEITE,DEM,PA
73482,HENRIQUE FONTANA,PT,RS
97707,HERÁCLITO FORTES,DEM,PI
178981,HERCULANO PASSOS,MDB,SP
73772,HERMES PARCIANELLO,MDB,PR
160596,HEULER CRUVINEL,PP,GO
178884,HILDO ROCHA,MDB,MA
178959,HIRAN GONÇALVES,PP,RR
178849,HISSA ABRAHÃO,PDT,AM
141450,HUGO LEAL,PSD,RJ
160674,HUGO MOTTA,PRB,PB
74662,HUMBERTO SOUTO,CIDADANIA,MG
194592,ILDON MARQUES,PSB,MA
141389,INDIO DA COSTA,PSD,RJ
67138,IRACEMA PORTELLA,PP,PI
81232,IRAJÁ ABREU,PSD,TO
178855,IRMÃO LAZARO,PSC,BA
73531,IVAN VALENTE,PSOL,SP
4931,IZALCI LUCAS,PSDB,DF
196378,IZAQUE SILVA,PSDB,SP
74665,JAIME MARTINS,PROS,MG
74847,JAIR BOLSONARO,PSL,RJ
74848,JANDIRA FEGHALI,PCdoB,RJ
73926,JANETE CAPIBERIBE,PSB,AP
131943,JARBAS VASCONCELOS,MDB,PE
160672,JEAN WYLLYS,PSOL,RJ
74273,JEFFERSON CAMPOS,PSB,SP
160570,JERÔNIMO GOERGEN,PP,RS
178839,JÉSSICA SALES,MDB,AC
178842,JHC,PSB,AL
160531,JHONATAN DE JESUS,PRB,RR
141503,JÔ MORAES,PCdoB,MG
160573,JOÃO ARRUDA,MDB,PR
74366,JOÃO CAMPOS,PRB,GO
141458,JOÃO CARLOS BACELAR,PL,BA
74445,JOÃO CASTELO,PSDB,MA
178970,JOÃO DANIEL,PT,SE
178965,JOÃO DERLY,REDE,RS
178917,JOÃO FERNANDO COUTINHO,PROS,PE
178856,JOÃO GUALBERTO,PSDB,BA
112437,JOÃO MARCELO SOUZA,MDB,MA
178967,JOÃO PAULO KLEINÜBING,DEM,SC
178988,JOÃO PAULO PAPA,PSDB,SP
160571,JOÃO RODRIGUES,PSD,SC
178910,JOAQUIM PASSARINHO,PSD,PA
194262,JONES MARTINS,MDB,RS
178971,JONY MARCOS,PRB,SE
74388,JORGE BOEIRA,PP,SC
160572,JORGE CÔRTE REAL,PTB,PE
178857,JORGE SOLLA,PT,BA
73535,JORGE TADEU MUDALEN,DEM,SP
160509,JORGINHO MELLO,PL,SC
141464,JOSÉ AIRTON FÉLIX CIRILO,PT,CE
74553,JOSÉ CARLOS ALELUIA,DEM,BA
74140,JOSÉ CARLOS ARAÚJO,PL,BA
131966,JOSÉ FOGAÇA,MDB,RS
141470,JOSÉ GUIMARÃES,PT,CE
74275,JOSÉ MENTOR,PT,SP
160619,JOSÉ NUNES,PSD,BA
74395,JOSÉ OTÁVIO GERMANO,PP,RS
74079,JOSÉ PRIANTE,MDB,PA
73714,JOSÉ REINALDO,PSDB,MA
74554,JOSÉ ROCHA,PL,BA
160607,JOSE STÉDILE,PSB,RS
114941,JOSI NUNES,PROS,TO
74141,JOSIAS GOMES,PT,BA
74351,JOSUÉ BENGTSON,PTB,PA
73666,JOVAIR ARANTES,PTB,GO
178851,JOZI ARAÚJO,PODEMOS,AP
67312,JÚLIA MARINHO,PSC,PA
141474,JULIÃO AMIN,PDT,MA
74317,JÚLIO CESAR,PSD,PI
73586,JÚLIO DELGADO,PSB,MG
74253,JULIO LOPES,PP,RJ
160648,JÚNIOR COIMBRA,MDB,TO
201357,JUNIOR CORINGA,PSD,MS
178885,JUNIOR MARRECA,PATRI,MA
160544,JUNJI ABE,MDB,SP
178886,JUSCELINO FILHO,DEM,MA
74570,JUTAHY JUNIOR,PSDB,BA
178918,KAIO MANIÇOBA,SOLIDARIEDADE,PE
160659,KEIKO OTA,PSB,SP
151208,LAERCIO OLIVEIRA,PP,SE
141478,LAERTE BESSA,PL,DF
178894,LAUDIVIO CARVALHO,PODEMOS,MG
74856,LAURA CARNEIRO,DEM,RJ
141480,LÁZARO BOTELHO,PP,TO
178832,LEANDRE,PV,PR
141562,LELO COIMBRA,MDB,ES
178825,LEO DE BRITO,PT,AC
74156,LEONARDO MONTEIRO,PT,MG
74254,LEONARDO PICCIANI,MDB,RJ
141482,LEONARDO QUINTÃO,MDB,MG
74299,LEÔNIDAS CRISTINO,PDT,CE
160663,LEOPOLDO MEYER,PSB,PR
74585,LINCOLN PORTELA,PL,MG
141483,LINDOMAR GARÇON,PRB,RO
74277,LOBBE NETO,PSDB,SP
196358,LOURIVAL GOMES,PSL,RJ
81366,LUANA COSTA,PSC,MA
178879,LUCAS VERGILIO,SOLIDARIEDADE,GO
160628,LUCIANA SANTOS,PCdoB,PE
74478,LUCIANO BIVAR,PSL,PE
178931,LUCIANO DUCCI,PSB,PR
178954,LUCIO MOSQUINI,MDB,RO
141484,LÚCIO VALE,PL,PA
94931,LUCIO VIEIRA LIMA,MDB,BA
73483,LUIS CARLOS HEINZE,PP,RS
160510,LUIS TIBÉ,AVANTE,MG
160547,LUIZ ARGÔLO,SOLIDARIEDADE,BA
141485,LUIZ CARLOS BUSATO,PTB,RS
73778,LUIZ CARLOS HAULY,PSDB,PR
178802,LUIZ CARLOS RAMOS,PL,RJ
178955,LUIZ CLÁUDIO,PL,RO
74041,LUIZ COUTO,PT,PB
141487,LUIZ FERNANDO FARIA,PP,MG
178982,LUIZ LAURO FILHO,PSB,SP
162332,LUIZ NISHIMORI,PL,PR
74688,LUIZ SÉRGIO,PT,RJ
74784,LUIZA ERUNDINA,PSOL,SP
178866,LUIZIANNE LINS,PT,CE
198198,LUZIA FERREIRA,CIDADANIA,MG
178867,MACEDO,PP,CE
166402,MAGDA MOFATTO,PL,GO
151965,MAIA FILHO,PP,PI
178826,MAJOR OLIMPIO,PSL,SP
160633,MANDETTA,DEM,MS
141490,MANOEL JUNIOR,MDB,PB
160565,MARA GABRILLI,PSDB,SP
74124,MARÇAL FILHO,MDB,MS
160660,MARCELO AGUIAR,DEM,SP
179000,MARCELO ÁLVARO ANTÔNIO,PSL,MG
146788,MARCELO ARO,PP,MG
178932,MARCELO BELINATI,PP,PR
74460,MARCELO CASTRO,MDB,PI
195826,MARCELO DELAROLI,PL,RJ
76287,MARCELO MATOS,PSD,RJ
74278,MARCELO ORTIZ,PODEMOS,SP
118594,MARCELO SQUASSONI,PRB,SP
178983,MARCIO ALVINO,PL,SP
179001,MÁRCIO BIOLCHI,MDB,RS
150418,MÁRCIO MARINHO,PRB,BA
178899,MARCIO MONTEIRO,SPART,MS
178942,MARCO ANTÔNIO CABRAL,MDB,RJ
133373,MARCO MAIA,PT,RS
160536,MARCO TEBALDI,PSDB,SC
160535,MARCON,PT,RS
74470,MARCONDES GADELHA,PSC,PB
178880,MARCOS ABRÃO,CIDADANIA,GO
74634,MARCOS MEDRADO,PODEMOS,BA
141500,MARCOS MONTES,PSD,MG
178852,MARCOS REATEGUI,PSD,AP
167722,MARCOS ROGÉRIO,DEM,RO
178850,MARCOS ROTTA,MDB,AM
178943,MARCOS SOARES,DEM,RJ
159238,MARCUS PESTANA,PSDB,MG
74235,MARCUS VICENTE,PP,ES
205297,MARFIZA GALVÃO,PSD,AC
171619,MARGARIDA SALOMÃO,PT,MG
74398,MARIA DO ROSÁRIO,PT,RS
64960,MARIA HELENA,MDB,RR
178956,MARIANA CARVALHO,PSDB,RO
178919,MARINALDO ROSENDO,PP,PE
74177,MARINHA RAUPP,MDB,RO
74158,MÁRIO HERINGER,PDT,MG
178858,MÁRIO NEGROMONTE JR.,PP,BA
181315,MARQUINHO MENDES,MDB,RJ
178843,MARX BELTRÃO,PSD,AL
74050,MAURÍCIO QUINTELLA LESSA,PL,AL
73588,MAURO BENEVIDES,MDB,CE
74749,MAURO LOPES,MDB,MG
141507,MAURO MARIANI,MDB,SC
124411,MAURO PEREIRA,MDB,RS
178827,MAX FILHO,PSDB,ES
74428,MENDONÇA FILHO,DEM,PE
74056,MENDONÇA PRADO,DEM,SE
188097,MERLONG SOLANO,PT,PI
141509,MIGUEL CORRÊA,PT,MG
178984,MIGUEL HADDAD,PSDB,SP
178985,MIGUEL LOMBARDI,PL,SP
74787,MILTON MONTI,PL,SP
74862,MIRO TEIXEIRA,REDE,RJ
178895,MISAEL VARELLA,PSD,MG
160561,MISSIONÁRIO JOSÉ OLIMPIO,DEM,SP
178859,MOEMA GRAMACHO,PT,BA
195278,MOISÉS DINIZ,PCdoB,AC
74457,MORONI TORGAN,DEM,CE
178997,MOSES RODRIGUES,MDB,CE
160567,NELSON MARCHEZAN JUNIOR,PSDB,RS
73553,NELSON MARQUEZELLI,PTB,SP
73781,NELSON MEURER,PP,PR
193069,NELSON NAHIM,PSD,RJ
160566,NELSON PADOVANI,PSDB,PR
74571,NELSON PELLEGRINO,PT,BA
178896,NEWTON CARDOSO JR,MDB,MG
74751,NILMÁRIO MIRANDA,PT,MG
166401,NILSON LEITÃO,PSDB,MT
74352,NILSON PINTO,PSDB,PA
178986,NILTO TATTO,PT,SP
74359,NILTON CAPIXABA,PTB,RO
194260,NIVALDO ALBUQUERQUE,PTB,AL
66179,NORMA AYUB,DEM,ES
74159,ODAIR CUNHA,PT,MG
74752,ODELMO LEÃO,PP,MG
178868,ODORICO MONTEIRO,PSB,CE
74399,ONYX LORENZONI,DEM,RS
178987,ORLANDO SILVA,PCdoB,SP
180545,OSMAR BERTOLDI,DEM,PR
73463,OSMAR SERRAGLIO,PP,PR
73692,OSMAR TERRA,MDB,RS
202063,OSVALDO MAFRA,SOLIDARIEDADE,SC
141515,OTAVIO LEITE,PSDB,RJ
160556,PADRE JOÃO,PT,MG
74319,PAES LANDIM,PTB,PI
160642,PASTOR EURICO,PATRIOTA,PE
193982,PASTOR LUCIANO BRAGA,PRB,BA
74160,PATRUS ANANIAS,PT,MG
74095,PAUDERNEY AVELINO,DEM,AM
171617,PAULÃO,PT,AL
141516,PAULO ABI-ACKEL,PSDB,MG
178860,PAULO AZI,DEM,BA
74017,PAULO FEIJÓ,PL,RJ
160517,PAULO FOLETTO,PSB,ES
160558,PAULO FREIRE COSTA,PL,SP
141517,PAULO HENRIQUE LUSTOSA,PP,CE
74574,PAULO MAGALHÃES,PSD,BA
132056,PAULO MALUF,PP,SP
193726,PAULO EDUARDO MARTINS,PSC,PR
141518,PAULO PEREIRA DA SILVA,SOLIDARIEDADE,SP
74400,PAULO PIMENTA,PT,RS
141488,PAULO TEIXEIRA,PT,SP
74812,PEDRO CHAVES,MDB,GO
178912,PEDRO CUNHA LIMA,PSDB,PB
74449,PEDRO FERNANDES,PTB,MA
122158,PEDRO PAULO,DEM,RJ
160604,PEDRO UCZAI,PT,SC
178844,PEDRO VILELA,PSDB,AL
80920,PENNA,PV,SP
141445,PEPE VARGAS,PT,RS
162174,POLICARPO,PT,DF
195997,POLLYANA GAMA,CIDADANIA,SP
73486,POMPEO DE MATTOS,PDT,RS
160601,PR. MARCO FELICIANO,PODEMOS,SP
200153,PROF. GEDEÃO AMORIM,MDB,AM
204011,PROFESSOR PACCO,PODEMOS,DF
170673,PROFESSOR SÉRGIO DE OLIVEIRA,PSD,PR
148134,PROFESSOR VICTÓRIO GALLI,PSL,MT
160639,PROFESSORA DORINHA SEABRA REZENDE,DEM,TO
160641,PROFESSORA MARCIVANIA,PCdoB,AP
178951,RAFAEL MOTTA,PSB,RN
74216,RAIMUNDO GOMES DE MATOS,PSDB,CE
178998,RAQUEL MUNIZ,PSD,MG
74048,RAUL JUNGMANN,CIDADANIA,PE
74161,REGINALDO LOPES,PT,MG
73786,REINHOLD STEPHANES,PSD,PR
178925,REJANE DIAS,PT,PI
178960,REMÍDIO MONAI,PL,RR
178989,RENATA ABREU,PODEMOS,SP
171620,RENATO ANDRADE,PP,MG
141527,RENATO MOLLING,PP,RS
160654,RENZO BRAZ,PP,MG
73788,RICARDO BARROS,PP,PR
195581,RICARDO BENTINHO,PRB,SP
160655,RICARDO IZAR,PP,SP
178920,RICARDO TEOBALDO,PODEMOS,PE
141472,RICARDO TRIPOLI,PSDB,SP
152610,ROBERTO ALVES,PRB,SP
73674,ROBERTO BALESTRA,PP,GO
141529,ROBERTO BRITTO,PP,BA
160653,ROBERTO DE LUCENA,PODEMOS,SP
73805,ROBERTO FREIRE,CIDADANIA,SP
178995,ROBERTO GÓES,PDT,AP
178944,ROBERTO SALES,DEM,RJ
160652,ROBERTO TEIXEIRA,PP,PE
91208,ROBINSON ALMEIDA,PT,BA
178840,ROCHA,PSDB,AC
141532,ROCHA LOURES,MDB,PR
141531,RODRIGO DE CASTRO,PSDB,MG
88950,RODRIGO GARCIA,DEM,SP
74693,RODRIGO MAIA,DEM,RJ
178926,RODRIGO MARTINS,PSB,PI
178897,RODRIGO PACHECO,DEM,MG
141535,ROGÉRIO MARINHO,PSDB,RN
160651,ROGÉRIO PENINHA MENDONÇA,MDB,SC
160426,ROGÉRIO ROSSO,PSD,DF
198963,ROGÉRIO SILVA,MDB,MT
141536,RÔMULO GOUVEIA,PSD,PB
160515,RONALDO BENEDET,MDB,SC
178861,RONALDO CARLETTO,PP,BA
160637,RONALDO FONSECA,PODEMOS,DF
178845,RONALDO LESSA,PDT,AL
122466,RONALDO MARTINS,PRB,CE
163321,RONALDO NOGUEIRA,PTB,RS
178870,RÔNEY NEMER,PP,DF
191684,ROSÂNGELA CURADO,PDT,MA
178945,ROSANGELA GOMES,PRB,RJ
146949,ROSINHA DA ADEFAL,AVANTE,AL
178935,ROSSONI,PSDB,PR
73466,RUBENS BUENO,CIDADANIA,PR
74371,RUBENS OTONI,PT,GO
178887,RUBENS PEREIRA JÚNIOR,PCdoB,MA
141522,SABINO CASTELO BRANCO,PTB,AM
160630,SÁGUAS MORAES,PT,MT
178990,SAMUEL MOREIRA,PSDB,SP
74372,SANDES JÚNIOR,PP,GO
160621,SANDRO ALEX,PSD,PR
74762,SARAIVA FELIPE,MDB,MG
74210,SARNEY FILHO,PV,MA
178921,SEBASTIÃO OLIVEIRA,PL,PE
73808,SÉRGIO BRITO,PSD,BA
141542,SÉRGIO MORAES,PTB,RS
178991,SÉRGIO REIS,PRB,SP
178933,SERGIO SOUZA,MDB,PR
178874,SERGIO VIDIGAL,PDT,ES
160612,SERGIO ZVEITER,DEM,RJ
167614,SEVERINO NINHO,PSB,PE
178961,SHÉRIDAN,PSDB,RR
160613,SIBÁ MACHADO,PT,AC
74765,SILAS BRASILEIRO,MDB,MG
74356,SILAS CÂMARA,PRB,AM
187008,SILAS FREIRE,PODEMOS,PI
4930,SILVIO COSTA,AVANTE,PE
73560,SILVIO TORRES,PSDB,SP
73424,SIMÃO SESSIM,PP,RJ
178911,SIMONE MORGADO,MDB,PA
178946,SORAYA SANTOS,PL,RJ
178947,SÓSTENES CAVALCANTE,DEM,RJ
92776,STEFANO AGUIAR,PSD,MG
177282,SUBTENENTE GONZAGA,PDT,MG
178922,TADEU ALENCAR,PSB,PE
74385,TAKAYAMA,PSC,PR
73831,TAMPINHA,PSD,MT
178898,TENENTE LÚCIO,PL,MG
178901,TEREZA CRISTINA,DEM,MS
160617,THIAGO PEIXOTO,PSD,GO
178862,TIA ERON,PRB,BA
160976,TIRIRICA,PL,SP
160611,TONINHO PINHEIRO,PP,MG
178934,TONINHO WANDSCHEER,PROS,PR
178863,ULDURICO JUNIOR,PROS,BA
195866,VAIDON OLIVEIRA,PROS,CE
194340,VAL AMÉLIO,PRTB,AL
141384,VALADARES FILHO,PSB,SE
74010,VALDIR COLATTO,MDB,SC
160610,VALMIR ASSUNÇÃO,PT,BA
113247,VALMIR PRASCIDELLI,PT,SP
141552,VALTENIR PEREIRA,MDB,MT
74376,VANDER LOUBET,PT,MS
141553,VANDERLEI MACRIS,PSDB,SP
178913,VENEZIANO VITAL DO RÊGO,PSB,PB
74308,VICENTE ARRUDA,PL,CE
160622,VICENTE CANDIDO,PT,SP
74283,VICENTINHO,PT,SP
137070,VICENTINHO JÚNIOR,PL,TO
178888,VICTOR MENDES,MDB,MA
141555,VINICIUS CARVALHO,PRB,SP
160591,VINICIUS GURGEL,PL,AP
178992,VITOR LIPPI,PSDB,SP
92355,VITOR PAULO,PRB,DF
178869,VITOR VALIM,PROS,CE
189593,WADIH DAMOUS,PT,RJ
137853,WADSON RIBEIRO,PCdoB,MG
160569,WALDENOR PEREIRA,PT,BA
141558,WALDIR MARANHÃO,PSDB,MA
160631,WALNEY ROCHA,PATRI,RJ
178952,WALTER ALVES,MDB,RN
141560,WALTER IHOSHI,PSD,SP
160609,WALTER TOSTA,PSD,MG
204760,WASHINGTON CORAÇÃO VALENTE,PDT,RS
160620,WASHINGTON REIS,MDB,RJ
160518,WELITON PRADO,PROS,MG
74043,WELLINGTON ROBERTO,PL,PB
167493,WEVERTON ROCHA,PDT,MA
141563,WILLIAM WOO,PP,SP
