cnpj,razao_social,capital_social,uf,porte,data_inicio_atividade,data_situacao_especial,situacao_especial,motivo_situacao_cadastral,cnae_tipo,cnae_codigo,cnae_descricao
00002874000188,MAGAZINE FUR LTDA,0,SP,1,1994-05-12,NA,NA,1,cnae_fiscal,4789099,
00007313000171,MAGAZINE HICALY LTDA,10000,SP,1,1994-05-19,NA,NA,1,cnae_fiscal,4781400,
00044180000103,CLUBE DO CONGRESSO,0,DF,5,1967-07-05,NA,NA,0,cnae_fiscal,9329899,
00063822000111,FRENTE PARLAMENTAR DA SAUDE,0,DF,5,1994-05-10,NA,NA,63,cnae_fiscal,8690999,
00071556000179,ROMA HOTEIS E REALIZACOES LTDA,1000000,GO,5,1994-05-20,NA,NA,0,cnae_fiscal,5510802,
00071556000179,ROMA HOTEIS E REALIZACOES LTDA,1000000,GO,5,1994-05-20,NA,NA,0,cnae_secundario,9321200,Parques de diversão e parques temáticos
00071556000179,ROMA HOTEIS E REALIZACOES LTDA,1000000,GO,5,1994-05-20,NA,NA,0,cnae_secundario,4781400,Comércio varejista de artigos do vestuário e acessórios
00071556000179,ROMA HOTEIS E REALIZACOES LTDA,1000000,GO,5,1994-05-20,NA,NA,0,cnae_secundario,9601701,Lavanderias
00071556000179,ROMA HOTEIS E REALIZACOES LTDA,1000000,GO,5,1994-05-20,NA,NA,0,cnae_secundario,5611203,"Lanchonetes, casas de chá, de sucos e similares"
00071556000179,ROMA HOTEIS E REALIZACOES LTDA,1000000,GO,5,1994-05-20,NA,NA,0,cnae_secundario,5611201,Restaurantes e similares
00071556000250,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2001-05-14,NA,NA,0,cnae_fiscal,5510802,
00071556000250,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2001-05-14,NA,NA,0,cnae_secundario,5611203,"Lanchonetes, casas de chá, de sucos e similares"
00071556000250,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2001-05-14,NA,NA,0,cnae_secundario,5611201,Restaurantes e similares
00071556000330,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2004-01-26,NA,NA,1,cnae_fiscal,5510802,
00071556000330,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2004-01-26,NA,NA,1,cnae_secundario,5611201,Restaurantes e similares
00071556000411,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2005-05-20,NA,NA,0,cnae_fiscal,5510802,
00071556000411,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2005-05-20,NA,NA,0,cnae_secundario,5611203,"Lanchonetes, casas de chá, de sucos e similares"
00071556000411,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2005-05-20,NA,NA,0,cnae_secundario,5611201,Restaurantes e similares
00071556000500,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2007-08-08,NA,NA,0,cnae_fiscal,5510802,
00071556000500,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2007-08-08,NA,NA,0,cnae_secundario,5611203,"Lanchonetes, casas de chá, de sucos e similares"
00071556000500,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2007-08-08,NA,NA,0,cnae_secundario,5611201,Restaurantes e similares
00071556000683,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2011-03-18,NA,NA,0,cnae_fiscal,5510802,
00071556000683,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2011-03-18,NA,NA,0,cnae_secundario,5611203,"Lanchonetes, casas de chá, de sucos e similares"
00071556000683,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2011-03-18,NA,NA,0,cnae_secundario,5611201,Restaurantes e similares
00071556000764,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2013-07-16,NA,NA,0,cnae_fiscal,9321200,
00071556000764,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2013-07-16,NA,NA,0,cnae_secundario,4781400,Comércio varejista de artigos do vestuário e acessórios
00071556000764,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2013-07-16,NA,NA,0,cnae_secundario,5611203,"Lanchonetes, casas de chá, de sucos e similares"
00071556000764,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2013-07-16,NA,NA,0,cnae_secundario,5611201,Restaurantes e similares
00071556000845,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2013-07-16,NA,NA,0,cnae_fiscal,5510802,
00071556000926,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2013-07-16,NA,NA,0,cnae_fiscal,5510802,
00071556001060,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2013-07-16,NA,NA,0,cnae_fiscal,5510802,
00071556001140,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2013-07-16,NA,NA,0,cnae_fiscal,5510802,
00071556001221,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2013-07-16,NA,NA,0,cnae_fiscal,5510802,
00071556001302,ROMA HOTEIS E REALIZACOES LTDA,0,GO,5,2015-01-14,NA,NA,0,cnae_fiscal,9601701,
00071856000158,EDITORA JORNALISTICA NOTICIOSO LTDA,0,RS,1,1994-05-20,NA,NA,1,cnae_fiscal,5822101,
00079903000100,CRIS CONSTRUCOES E EMPREENDIMENTOS LTDA,1000000,BA,1,1994-05-27,NA,NA,0,cnae_fiscal,4313400,
00079903000100,CRIS CONSTRUCOES E EMPREENDIMENTOS LTDA,1000000,BA,1,1994-05-27,NA,NA,0,cnae_secundario,4213800,"Obras de urbanização - ruas, praças e calçadas"
00079903000100,CRIS CONSTRUCOES E EMPREENDIMENTOS LTDA,1000000,BA,1,1994-05-27,NA,NA,0,cnae_secundario,810003,Extração de mármore e beneficiamento associado
00079903000100,CRIS CONSTRUCOES E EMPREENDIMENTOS LTDA,1000000,BA,1,1994-05-27,NA,NA,0,cnae_secundario,810002,Extração de granito e beneficiamento associado
00079903000290,CRIS CONSTRUCOES E EMPREENDIMENTOS LTDA,0,SP,1,1994-09-19,NA,NA,0,cnae_fiscal,4211101,
00080582000163,ASSOCIACAO MISSIONARIA VIDA NOVA,0,RJ,5,1994-05-18,NA,NA,0,cnae_fiscal,9491000,
00080704000111,ASSOCIACAO DE TURMA DE ESAGUIANOS 95/2,0,SC,5,1994-06-01,NA,NA,71,cnae_fiscal,9430800,
00080704000111,ASSOCIACAO DE TURMA DE ESAGUIANOS 95/2,0,SC,5,1994-06-01,NA,NA,71,cnae_secundario,9499500,Atividades associativas não especificadas anteriormente
00080704000111,ASSOCIACAO DE TURMA DE ESAGUIANOS 95/2,0,SC,5,1994-06-01,NA,NA,71,cnae_secundario,9493600,Atividades de organizações associativas ligadas à cultura e à arte
00111437000100,CITY FACTORING FOMENTO COMERCIAL LTDA,21142.78,PI,5,1994-07-13,NA,NA,63,cnae_fiscal,6436100,
00132263000154,COMISSAO EXEC MUNICIPAL DO PARTIDO DOS TRABALHADORES,0,MG,5,1994-05-23,NA,NA,11,cnae_fiscal,9492800,
00147437000152,M P M - CURSO JURIDICO LTDA,0,RJ,3,1994-08-08,NA,NA,0,cnae_fiscal,8599699,
00147437000233,M P M - CURSO JURIDICO LTDA,0,RJ,3,1997-06-06,NA,NA,0,cnae_fiscal,8513900,
00188544000129,BECSUL EMPREEND E INCORPORACOES IMOBILIARIAS LTDA,0,PR,5,1994-09-01,NA,NA,1,cnae_fiscal,4110700,
00197995000122,MAGAZINE HICARYE LTDA,0,SP,1,1994-05-17,NA,NA,1,cnae_fiscal,4721104,
00209028000133,MINERADORA PEDRA LISA LTDA,4000,GO,1,1994-09-22,NA,NA,0,cnae_fiscal,899199,
00209028000133,MINERADORA PEDRA LISA LTDA,4000,GO,1,1994-09-22,NA,NA,0,cnae_secundario,990403,Atividades de apoio à extração de minerais não metálicos
00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA,1000000,SP,5,1994-09-29,NA,NA,0,cnae_fiscal,4120400,
00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA,1000000,SP,5,1994-09-29,NA,NA,0,cnae_secundario,4312600,Perfurações e sondagens
00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA,1000000,SP,5,1994-09-29,NA,NA,0,cnae_secundario,6810202,Aluguel de imóveis próprios
00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA,1000000,SP,5,1994-09-29,NA,NA,0,cnae_secundario,6810201,Compra e venda de imóveis próprios
00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA,1000000,SP,5,1994-09-29,NA,NA,0,cnae_secundario,4299599,Outras obras de engenharia civil não especificadas anteriormente
00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA,1000000,SP,5,1994-09-29,NA,NA,0,cnae_secundario,4744004,"Comércio varejista de cal, areia, pedra britada, tijolos e telhas"
00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA,1000000,SP,5,1994-09-29,NA,NA,0,cnae_secundario,4213800,"Obras de urbanização - ruas, praças e calçadas"
00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA,1000000,SP,5,1994-09-29,NA,NA,0,cnae_secundario,4311802,Preparação de canteiro e limpeza de terreno
00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA,1000000,SP,5,1994-09-29,NA,NA,0,cnae_secundario,4313400,Obras de terraplenagem
00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA,1000000,SP,5,1994-09-29,NA,NA,0,cnae_secundario,4110700,Incorporação de empreendimentos imobiliários
00223924000157,COOPERATIVA HABITACIONAL COMERCIARIOS ESTADO SAO PAULO,0,SP,5,1992-09-22,NA,NA,0,cnae_fiscal,6499999,
00254512000184,HOSPITAL INFANTIL DE BELFORD ROXO LTDA,180000,RJ,5,1994-10-11,NA,NA,0,cnae_fiscal,8610101,
00298270000120,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PE,5,1994-11-17,NA,NA,0,cnae_fiscal,6491300,
00298270000201,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,SP,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270000201,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,SP,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270000392,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PA,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270000392,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PA,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270000473,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,DF,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270000473,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,DF,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270000554,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,MS,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270000554,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,MS,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270000635,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,MT,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270000635,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,MT,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270000716,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PR,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270000716,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PR,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270000805,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,CE,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270000805,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,CE,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270000988,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,SC,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270000988,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,SC,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270001011,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,GO,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270001011,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,GO,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270001100,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,AM,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270001100,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,AM,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270001283,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,MG,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270001283,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,MG,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270001364,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PR,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270001364,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PR,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270001445,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,RJ,5,1995-06-12,NA,NA,0,cnae_fiscal,6491300,
00298270001526,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,RS,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270001526,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,RS,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270001607,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,SP,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270001607,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,SP,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270001798,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PI,5,1995-06-12,NA,NA,0,cnae_fiscal,6619399,
00298270001798,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PI,5,1995-06-12,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00298270001879,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,ES,5,1995-06-12,NA,NA,0,cnae_fiscal,6491300,
00298270002093,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PE,5,1996-10-09,NA,NA,1,cnae_fiscal,6619399,
00298270002093,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PE,5,1996-10-09,NA,NA,1,cnae_secundario,6619305,Operadoras de cartões de débito
00298270002174,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PE,5,2000-06-02,NA,NA,0,cnae_fiscal,6619399,
00298270002174,BRASIFACTOR FOMENTO COMERCIAL LTDA,0,PE,5,2000-06-02,NA,NA,0,cnae_secundario,6619305,Operadoras de cartões de débito
00320091000142,UTILIZE ESTRUTURA TUBULARES E PROMOCAO DE EVENTOS LTDA,0,BA,5,1994-11-29,NA,NA,1,cnae_fiscal,4299599,
00320091000142,UTILIZE ESTRUTURA TUBULARES E PROMOCAO DE EVENTOS LTDA,0,BA,5,1994-11-29,NA,NA,1,cnae_secundario,4399199,Serviços especializados para construção não especificados anteriormente
00376437000124,AUTO POSTO ABEL GALINHA LIMITADA,0,RR,5,1995-01-04,NA,NA,0,cnae_fiscal,4731800,
