cnpj,id_deputado,valor_doado,exportadora,nome_deputado,partido_deputado,uf_deputado,razao_social,capital_social,uf,porte,cnae_tipo,cnae_codigo,cnae_descricao
00066716000191,160508,8000,sim,AFONSO FLORENCE,PT,BA,LOGIN INFORMATICA COMERCIO E REPRESENTACAO LTDA,25473200,BA,5,cnae_fiscal,4751201,
00066716000191,160508,8000,sim,AFONSO FLORENCE,PT,BA,LOGIN INFORMATICA COMERCIO E REPRESENTACAO LTDA,25473200,BA,5,cnae_secundario,4619200,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
00676262000170,160508,190000,nao,AFONSO FLORENCE,PT,BA,PARTIDO DOS TRABALHADORES,0,DF,5,cnae_fiscal,9492800,
03912865000112,160508,300,nao,AFONSO FLORENCE,PT,BA,P.H.L- PROFISSIONAIS DE HIGIENE E LIMPEZA LTDA,0,BA,1,cnae_fiscal,8121400,
03912865000112,160508,300,nao,AFONSO FLORENCE,PT,BA,P.H.L- PROFISSIONAIS DE HIGIENE E LIMPEZA LTDA,0,BA,1,cnae_secundario,8129000,Atividades de limpeza não especificadas anteriormente
07435665000177,160508,10000,nao,AFONSO FLORENCE,PT,BA,PORTO FINO EMPREEDIMENTOS MANUTENCAO E SERVICOS LTDA,3067000,BA,5,cnae_fiscal,7830200,
07435665000177,160508,10000,nao,AFONSO FLORENCE,PT,BA,PORTO FINO EMPREEDIMENTOS MANUTENCAO E SERVICOS LTDA,3067000,BA,5,cnae_secundario,4222701,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação"
07435665000177,160508,10000,nao,AFONSO FLORENCE,PT,BA,PORTO FINO EMPREEDIMENTOS MANUTENCAO E SERVICOS LTDA,3067000,BA,5,cnae_secundario,4299501,Construção de instalações esportivas e recreativas
07435665000177,160508,10000,nao,AFONSO FLORENCE,PT,BA,PORTO FINO EMPREEDIMENTOS MANUTENCAO E SERVICOS LTDA,3067000,BA,5,cnae_secundario,4120400,Construção de edifícios
07435665000177,160508,10000,nao,AFONSO FLORENCE,PT,BA,PORTO FINO EMPREEDIMENTOS MANUTENCAO E SERVICOS LTDA,3067000,BA,5,cnae_secundario,8299701,"Medição de consumo de energia elétrica, gás e água"
08311379000162,160508,11000,nao,AFONSO FLORENCE,PT,BA,SULBAIANA EMPREENDIMENTOS LTDA,2000000,BA,5,cnae_fiscal,7830200,
08311379000162,160508,11000,nao,AFONSO FLORENCE,PT,BA,SULBAIANA EMPREENDIMENTOS LTDA,2000000,BA,5,cnae_secundario,4222701,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação"
08311379000162,160508,11000,nao,AFONSO FLORENCE,PT,BA,SULBAIANA EMPREENDIMENTOS LTDA,2000000,BA,5,cnae_secundario,4120400,Construção de edifícios
08311379000162,160508,11000,nao,AFONSO FLORENCE,PT,BA,SULBAIANA EMPREENDIMENTOS LTDA,2000000,BA,5,cnae_secundario,7820500,Locação de mão de obra temporária
08311379000162,160508,11000,nao,AFONSO FLORENCE,PT,BA,SULBAIANA EMPREENDIMENTOS LTDA,2000000,BA,5,cnae_secundario,4110700,Incorporação de empreendimentos imobiliários
08311379000162,160508,11000,nao,AFONSO FLORENCE,PT,BA,SULBAIANA EMPREENDIMENTOS LTDA,2000000,BA,5,cnae_secundario,7731400,Aluguel de máquinas e equipamentos agrícolas sem operador
08311379000162,160508,11000,nao,AFONSO FLORENCE,PT,BA,SULBAIANA EMPREENDIMENTOS LTDA,2000000,BA,5,cnae_secundario,7711000,Locação de automóveis sem condutor
08311379000162,160508,11000,nao,AFONSO FLORENCE,PT,BA,SULBAIANA EMPREENDIMENTOS LTDA,2000000,BA,5,cnae_secundario,4299599,Outras obras de engenharia civil não especificadas anteriormente
08311379000162,160508,11000,nao,AFONSO FLORENCE,PT,BA,SULBAIANA EMPREENDIMENTOS LTDA,2000000,BA,5,cnae_secundario,8121400,Limpeza em prédios e em domicílios
08311379000162,160508,11000,nao,AFONSO FLORENCE,PT,BA,SULBAIANA EMPREENDIMENTOS LTDA,2000000,BA,5,cnae_secundario,7112000,Serviços de engenharia
08311379000162,160508,11000,nao,AFONSO FLORENCE,PT,BA,SULBAIANA EMPREENDIMENTOS LTDA,2000000,BA,5,cnae_secundario,4321500,Instalação e manutenção elétrica
12285441000166,160508,40000,nao,AFONSO FLORENCE,PT,BA,TPF ENGENHARIA LTDA,19224004,PE,5,cnae_fiscal,7112000,
13477302000105,160508,10000,nao,AFONSO FLORENCE,PT,BA,PARTIDO DOS TRABALHADORES,0,BA,5,cnae_fiscal,9492800,
13959986000173,160508,25000,nao,AFONSO FLORENCE,PT,BA,SERTENGE ENGENHARIA S/A,98620000,BA,5,cnae_fiscal,4120400,
13959986000173,160508,25000,nao,AFONSO FLORENCE,PT,BA,SERTENGE ENGENHARIA S/A,98620000,BA,5,cnae_secundario,4299501,Construção de instalações esportivas e recreativas
15103070000142,160508,10000,sim,AFONSO FLORENCE,PT,BA,TERWAL MAQUINAS LTDA,2600000,BA,5,cnae_fiscal,4744003,
15103070000142,160508,10000,sim,AFONSO FLORENCE,PT,BA,TERWAL MAQUINAS LTDA,2600000,BA,5,cnae_secundario,7112000,Serviços de engenharia
15103070000142,160508,10000,sim,AFONSO FLORENCE,PT,BA,TERWAL MAQUINAS LTDA,2600000,BA,5,cnae_secundario,7490103,Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias
15103070000142,160508,10000,sim,AFONSO FLORENCE,PT,BA,TERWAL MAQUINAS LTDA,2600000,BA,5,cnae_secundario,4614100,"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves"
15103070000142,160508,10000,sim,AFONSO FLORENCE,PT,BA,TERWAL MAQUINAS LTDA,2600000,BA,5,cnae_secundario,7490199,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente"
15103070000142,160508,10000,sim,AFONSO FLORENCE,PT,BA,TERWAL MAQUINAS LTDA,2600000,BA,5,cnae_secundario,4222702,Obras de irrigação
15103070000142,160508,10000,sim,AFONSO FLORENCE,PT,BA,TERWAL MAQUINAS LTDA,2600000,BA,5,cnae_secundario,3313999,"Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente"
15103070000142,160508,10000,sim,AFONSO FLORENCE,PT,BA,TERWAL MAQUINAS LTDA,2600000,BA,5,cnae_secundario,4742300,Comércio varejista de material elétrico
15103070000142,160508,10000,sim,AFONSO FLORENCE,PT,BA,TERWAL MAQUINAS LTDA,2600000,BA,5,cnae_secundario,4744005,Comércio varejista de materiais de construção não especificados anteriormente
15103070000142,160508,10000,sim,AFONSO FLORENCE,PT,BA,TERWAL MAQUINAS LTDA,2600000,BA,5,cnae_secundario,4744099,Comércio varejista de materiais de construção em geral
15103070000142,160508,10000,sim,AFONSO FLORENCE,PT,BA,TERWAL MAQUINAS LTDA,2600000,BA,5,cnae_secundario,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes"
16948182000167,160508,300,nao,AFONSO FLORENCE,PT,BA,HELIO AZEVEDO ADVOCACIA,5000,BA,5,cnae_fiscal,6911701,
20563798000197,160508,1010.02,nao,AFONSO FLORENCE,PT,BA,ELEICAO 2014 JURANDY CUNHA OLIVEIRA DEPUTADO ESTADUAL,0,BA,5,cnae_fiscal,9492800,
20570914000103,160508,16183.25,nao,AFONSO FLORENCE,PT,BA,ELEICAO 2014 RUI COSTA DOS SANTOS GOVERNADOR,0,BA,5,cnae_fiscal,9492800,
00887169000105,136811,1045000,nao,AFONSO HAMM,PP,RS,PROGRESSISTAS - BRASIL - BR - NACIONAL,0,DF,5,cnae_fiscal,9492800,
02459432000190,136811,2500,nao,AFONSO HAMM,PP,RS,TTERRASUL - COMERCIO DE VEICULOS LTDA,4600000,RS,5,cnae_fiscal,4511101,
02459432000190,136811,2500,nao,AFONSO HAMM,PP,RS,TTERRASUL - COMERCIO DE VEICULOS LTDA,4600000,RS,5,cnae_secundario,8219999,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente
