sg_partido,total_partido,total_partido_socios,tipo_dado,proporcao,proporcao_por_cento
CIDADANIA,1666102.57,275738.68,proporcao_partido_socios,0.16549922253586102,16.5
DEM,9498924.43,4616513.19,proporcao_partido_socios,0.4860037811670432,48.6
MDB,18183863.09,4918158.02,proporcao_partido_socios,0.2704682715470225,27
PDT,5021918.890000001,2393000,proporcao_partido_socios,0.47651108120545527,47.7
PL,3166450.09,136433,proporcao_partido_socios,0.043087052100038,4.3
PODEMOS,8850288.34,7148872.4,proporcao_partido_socios,0.8077558747650927,80.8
PP,13392253.65,1548626.2,proporcao_partido_socios,0.11563596691584466,11.6
PROS,1094640,180190,proporcao_partido_socios,0.16461119637506394,16.5
PSB,4693714.21,348459.42,proporcao_partido_socios,0.0742395903137017,7.4
PSC,559628.73,47700,proporcao_partido_socios,0.08523508076506366,8.5
PSD,6907639.7700000005,1068674.62,proporcao_partido_socios,0.15470908379462295,15.5
PSDB,10930800.43,1874128.42,proporcao_partido_socios,0.171453905137302,17.1
PSL,1168536.96,478597.2,proporcao_partido_socios,0.40956958691319445,41
PT,6539200.1899999995,414331.51,proporcao_partido_socios,0.06336119065961797,6.3
REDE,1731324.76,160777.21,proporcao_partido_socios,0.0928636924247534,9.3
REPUBLICANOS,2380209.03,0,proporcao_partido_socios,0,0
