"id_proposicao","nome_proposicao","data_apresentacao_proposicao","ementa_proposicao","autor","indexacao","tema","uri_tramitacao","obj_votacao","cod_sessao","data_votacao","hora_votacao","tipo_documento_votacao","numero_documento","link_documento_votacao"
"2208720","MPV 886/2019","19/06/2019","Altera a Lei nº 13.844, de 18 junho de 2019, a Lei nº 8.171, de 17 de janeiro de 1991, a Lei nº 12.897, de 18 de dezembro de 2013, a Lei nº 9.613, de 3 de março de 1998, e a Lei nº 13.334, de 13 de setembro de 2016, para dispor sobre a organização básica dos órgãos da Presidência da República e dos Ministérios.

NOVA EMENTA: Altera a Lei nº 13.844, de 18 junho de 2019, a Lei nº 8.171, de 17 de janeiro de 1991, a Lei nº 12.897, de 18 de dezembro de 2013, e a Lei nº 13.334, de 13 de setembro de 2016, para dispor sobre a organização básica dos órgãos da Presidência da República e dos Ministérios."," Poder Executivo, Poder Executivo","Alteração, Lei da Organização da Presidência da República e Ministérios (2019), competência, organização administrativa, Casa Civil da Presidência da República, Secretaria de Governo da Presidência da República, Secretaria-Geral da Presidência da República. _Ministério da Agricultura, Pecuária e Abastecimento, competência, terras indígenas. _Ministério da Economia, competência, registro sindical. _Ministério da Justiça e Segurança Pública, competência, direitos do índio, organização, Polícia civil, Polícia militar, Distrito Federal, Corpo de Bombeiros Militar do Distrito Federal (CBMDF). _Inclusão, Conselho Nacional de Política Indigenista (CNPI), organização administrativa, Ministério da Justiça e Segurança Pública. _Ministério do Meio Ambiente, competência, zoneamento Ecológico-Econômico (ZEE). _Alteração, Lei da Política Agrícola, Câmara Setorial, Conselho Nacional de Política Agrícola (CNPA). _Alteração, Lei de Lavagem de Dinheiro, Conselho de Controle de Atividades Financeiras (COAF), Ministério da Economia. _Alteração, lei federal, Conselho do Programa de Parcerias de Investimentos da Presidência da República (CPPI). _Transformação, Cargo em comissão de natureza especial (CNE), Unidade administrativa. _Extinção, Secretaria Especial para o Senado Federal, Casa Civil da Presidência da República.","Administração Pública","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2208720","PROJETO DE LEI DE CONVERSÃO Nº 24/2019","16959",2019-10-15,"19:24","PLV",24,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1815409"
"2208720","MPV 886/2019","19/06/2019","Altera a Lei nº 13.844, de 18 junho de 2019, a Lei nº 8.171, de 17 de janeiro de 1991, a Lei nº 12.897, de 18 de dezembro de 2013, a Lei nº 9.613, de 3 de março de 1998, e a Lei nº 13.334, de 13 de setembro de 2016, para dispor sobre a organização básica dos órgãos da Presidência da República e dos Ministérios.

NOVA EMENTA: Altera a Lei nº 13.844, de 18 junho de 2019, a Lei nº 8.171, de 17 de janeiro de 1991, a Lei nº 12.897, de 18 de dezembro de 2013, e a Lei nº 13.334, de 13 de setembro de 2016, para dispor sobre a organização básica dos órgãos da Presidência da República e dos Ministérios."," Poder Executivo, Poder Executivo","Alteração, Lei da Organização da Presidência da República e Ministérios (2019), competência, organização administrativa, Casa Civil da Presidência da República, Secretaria de Governo da Presidência da República, Secretaria-Geral da Presidência da República. _Ministério da Agricultura, Pecuária e Abastecimento, competência, terras indígenas. _Ministério da Economia, competência, registro sindical. _Ministério da Justiça e Segurança Pública, competência, direitos do índio, organização, Polícia civil, Polícia militar, Distrito Federal, Corpo de Bombeiros Militar do Distrito Federal (CBMDF). _Inclusão, Conselho Nacional de Política Indigenista (CNPI), organização administrativa, Ministério da Justiça e Segurança Pública. _Ministério do Meio Ambiente, competência, zoneamento Ecológico-Econômico (ZEE). _Alteração, Lei da Política Agrícola, Câmara Setorial, Conselho Nacional de Política Agrícola (CNPA). _Alteração, Lei de Lavagem de Dinheiro, Conselho de Controle de Atividades Financeiras (COAF), Ministério da Economia. _Alteração, lei federal, Conselho do Programa de Parcerias de Investimentos da Presidência da República (CPPI). _Transformação, Cargo em comissão de natureza especial (CNE), Unidade administrativa. _Extinção, Secretaria Especial para o Senado Federal, Casa Civil da Presidência da República.","Administração Pública","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2208720","DTQ 1 - PT - EMENDA Nº 70","16959",2019-10-15,"19:45","EMP",70,"-"
"2208720","MPV 886/2019","19/06/2019","Altera a Lei nº 13.844, de 18 junho de 2019, a Lei nº 8.171, de 17 de janeiro de 1991, a Lei nº 12.897, de 18 de dezembro de 2013, a Lei nº 9.613, de 3 de março de 1998, e a Lei nº 13.334, de 13 de setembro de 2016, para dispor sobre a organização básica dos órgãos da Presidência da República e dos Ministérios.

NOVA EMENTA: Altera a Lei nº 13.844, de 18 junho de 2019, a Lei nº 8.171, de 17 de janeiro de 1991, a Lei nº 12.897, de 18 de dezembro de 2013, e a Lei nº 13.334, de 13 de setembro de 2016, para dispor sobre a organização básica dos órgãos da Presidência da República e dos Ministérios."," Poder Executivo, Poder Executivo","Alteração, Lei da Organização da Presidência da República e Ministérios (2019), competência, organização administrativa, Casa Civil da Presidência da República, Secretaria de Governo da Presidência da República, Secretaria-Geral da Presidência da República. _Ministério da Agricultura, Pecuária e Abastecimento, competência, terras indígenas. _Ministério da Economia, competência, registro sindical. _Ministério da Justiça e Segurança Pública, competência, direitos do índio, organização, Polícia civil, Polícia militar, Distrito Federal, Corpo de Bombeiros Militar do Distrito Federal (CBMDF). _Inclusão, Conselho Nacional de Política Indigenista (CNPI), organização administrativa, Ministério da Justiça e Segurança Pública. _Ministério do Meio Ambiente, competência, zoneamento Ecológico-Econômico (ZEE). _Alteração, Lei da Política Agrícola, Câmara Setorial, Conselho Nacional de Política Agrícola (CNPA). _Alteração, Lei de Lavagem de Dinheiro, Conselho de Controle de Atividades Financeiras (COAF), Ministério da Economia. _Alteração, lei federal, Conselho do Programa de Parcerias de Investimentos da Presidência da República (CPPI). _Transformação, Cargo em comissão de natureza especial (CNE), Unidade administrativa. _Extinção, Secretaria Especial para o Senado Federal, Casa Civil da Presidência da República.","Administração Pública","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2208720","DTQ 2 - PT - EMENDA Nº 72","16960",2019-10-15,"20:40","EMP",72,"-"
"2158716","PEC 372/2017","26/10/2017","Altera o inciso XIV do art. 21, o § 4º do art. 32 e o art. 144 da Constituição Federal para criar as polícias penais federal, estaduais e distrital."," Senado Federal - Cássio Cunha Lima - PSDB/PB, Senado Federal - Cássio Cunha Lima - PSDB/PB","Constituição Federal (1988), criação, polícia penitenciária .","Defesa e Segurança","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2158716","PROPOSTA DE EMENDA À CONSTITUIÇÃO - PRIMEIRO TURNO","16955",2019-10-09,"22:58","PEC",NA,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1614630"
"2198229","PLN 5/2019","15/04/2019","Dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2020 e dá outras providências."," Presidência da República, Presidência da República",NA,"","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2198229","DESTAQUE Nº 6 - PT/CD - ARTIGO 22 (SALÁRIO MÍNIMO).","16953",2019-10-09,"14:53","PLN",6,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1733433"
"2214046","PLN 18/2019","07/08/2019","Abre aos Orçamentos Fiscal e da Seguridade Social da União, em favor de diversos órgãos do Poder Executivo, crédito suplementar no valor de R$ 3.041.594.744,00, para reforço de dotações constantes da Lei Orçamentária vigente."," Presidência da República, Presidência da República",NA,"","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2214046","PROJETO DE LEI DO CONGRESSO NACIONAL","16953",2019-10-09,"12:39","PL",NA,"-"
"2202987","PLN 6/2019","07/05/2019","Abre ao Orçamento Fiscal da União, em favor das Justiças Federal, Eleitoral, do Trabalho e do Distrito Federal e dos Territórios, do Ministério Público da União e do Conselho Nacional do Ministério Público, crédito suplementar no valor de R$ 236.566.628,00, para reforço de dotações constantes da Lei Orçamentária vigente."," Presidência da República, Presidência da República",NA,"","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2202987","CRÉDITO SUPLEMENTAR - PODER JUDICIÁRIO E MINISTÉRIO PÚBLICO","16952",2019-10-08,"19:33","PLN",NA,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1747118"
"2202987","PLN 6/2019","07/05/2019","Abre ao Orçamento Fiscal da União, em favor das Justiças Federal, Eleitoral, do Trabalho e do Distrito Federal e dos Territórios, do Ministério Público da União e do Conselho Nacional do Ministério Público, crédito suplementar no valor de R$ 236.566.628,00, para reforço de dotações constantes da Lei Orçamentária vigente."," Presidência da República, Presidência da República",NA,"","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2202987","PROJETO DE LEI DO CONGRESSO NACIONAL","16952",2019-10-08,"19:19","PL",NA,"-"
"2214046","PLN 18/2019","07/08/2019","Abre aos Orçamentos Fiscal e da Seguridade Social da União, em favor de diversos órgãos do Poder Executivo, crédito suplementar no valor de R$ 3.041.594.744,00, para reforço de dotações constantes da Lei Orçamentária vigente."," Presidência da República, Presidência da República",NA,"","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2214046","PROJETO DE LEI DO CONGRESSO NACIONAL","16952",2019-10-08,"21:30","PL",NA,"-"
"2212362","PL 4121/2019","16/07/2019","Estabelece os limites de gastos de campanha para as eleições de 2020 e dá outras providências.

NOVA EMENTA: Altera a Lei nº 9.504, de 30 de setembro de 1997, a fim de estabelecer os limites de gastos de campanha para as eleições municipais.","Otaci Nascimento - SOLIDARI/RR","Limitação, gasto eleitoral, Eleição municipal, campanha eleitoral, vereador, prefeito.
_Alteração, Lei das Eleições (1997), supressão, coligação partidária, eleição proporcional, Debate eleitoral, propaganda eleitoral, internet Prestação de contas eleitorais. 
_Alteração, Código Eleitoral (1965), proibição, coligação partidária, eleição proporcional, deputado federal, deputado estadual, vereador, preenchimento, vaga, Quociente eleitoral.","Política, Partidos e Eleições","https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2212362","DTQ 3 - PSL - EMENDA DE PLENÁRIO Nº 2","16943",2019-10-01,"00:20","EMP",2,"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1814529"
