texto,tema,id,_id_survey
"Metas mais ambiciosas do que as atualmente comprometidas pelo Brasil junto ao Acordo de Paris, no sentido de reduzir as <strong>emissões de gases de efeito estufa<br></strong>",Meio Ambiente,0,120398585
"Garantias da manutenção, demarcação e homologação de <strong>terras indígenas</strong> e titulação de <strong>territórios quilombolas</strong> no país",Meio Ambiente,1,120398589
Incentivos fiscais e tributários para a fabricação e aquisição de <strong>painéis solares</strong> no país,Meio Ambiente,2,120398593
Incentivos e subsídios para a fabricação e aquisição de <strong>carros elétricos</strong> no Brasil,Meio Ambiente,3,120398595
"Flexibilização do <strong>registro e uso de agrotóxicos</strong> no Brasil (PL nº 6.299/2002, em debate no Congresso)",Meio Ambiente,4,120398597
Proibição da ocupação de <strong>cargos técnicos e diretivos dos órgãos ambientais</strong> por indicações políticas,Meio Ambiente,5,120398599
Eliminação de todos os subsídios concedidos aos <strong>combustíveis fósseis<br></strong>,Meio Ambiente,6,120398602
"Priorização de políticas públicas para <strong>energias renováveis</strong> modernas, como a eólica e a solar",Meio Ambiente,7,120398616
Meta de <strong>descarbonização da economia brasileira</strong> até 2050,Meio Ambiente,8,120398618
Inserção da <strong>educação sobre mudanças climáticas</strong> no currículo base do ensino público,Meio Ambiente,9,120398619
Redução da <strong>maioridade penal</strong>,Direitos Humanos,10,120398693
Medidas afirmativas para defender a <strong>diversidade e a equidade de gênero</strong> nas esferas pública e privada do mercado de trabalho,Direitos Humanos,11,120398695
"Manutenção da<strong> Política Nacional de Combate ao Trabalho Escravo</strong> e seus instrumentos, incluindo o <strong>Grupo Móvel</strong> do Trabalho Escravo e a <strong>Lista Suja</strong>",Direitos Humanos,12,120398697
Manutenção da <strong>Política Nacional de Combate ao Trabalho Infantil</strong> e proteção de crianças e adolescentes,Direitos Humanos,13,121123287
"Empresas devem adotar <strong>políticas transparentes</strong> de remuneração salarial, pagando <strong>salários iguais a homens e mulheres</strong> que estejam desempenhando as mesmas funções",Direitos Humanos,14,121123289
<strong>Refugiados e imigrantes</strong> devem ter os mesmos direitos dos nacionalizados,Direitos Humanos,15,121123292
Revogação da Emenda Constitucional que estabelece o <strong>teto de gastos públicos</strong>,Direitos Humanos,16,121123297
Iniciativas legislativas que visem o <strong>enfrentamento</strong> de todas as formas de reprodução do <strong>racismo</strong>,Direitos Humanos,17,121123299
"<strong>Cota para mulheres</strong> no Poder Legislativo, nos âmbitos federal, estadual e municipal",Direitos Humanos,18,121123300
<strong>Legalização do aborto</strong> até 12 semanas de gestação,Direitos Humanos,19,121123302
"Crimes de <strong>caixa 2</strong>, <strong>enriquecimento ilícito</strong> e <strong>corrupção</strong> entre entes privados devem ser tipificados na legislação penal",Integridade e Transparência,20,121123303
"<strong>Regulamentação de acordos de leniência</strong>, viabilizando a participação dos órgãos públicos interessados no tema, de modo a promover a efetividade e a segurança jurídica",Integridade e Transparência,21,121123304
Criação de um novo marco <strong>regulatório de compras e contratações públicas</strong> com base em princípios de transparência e integridade,Integridade e Transparência,22,121134163
Mecanismos de <strong>incentivo e proteção ao denunciante</strong> devem ser regulamentados,Integridade e Transparência,23,121123305
