id,casa,cpf,nome_civil,nome_eleitoral,genero,uf,sg_partido,situacao,condicao_eleitoral,ultima_legislatura,em_exercicio
5154,senado,NA,Abiancy Cadoso Rosa,Abiancy Cadoso Rosa,M,PA,CIDADANIA,NA,2º Suplente,55,0
5170,senado,NA,Agimiro Dias da Costa,Agimiro Dias da Costa,M,TO,PSDB,NA,2º Suplente,55,0
5140,senado,NA,Airton Sandoval Santana,Airton Sandoval,M,SP,MDB,NA,1º Suplente,55,0
846,senado,NA,Aloysio Nunes Ferreira Filho,Aloysio Nunes Ferreira,M,SP,PSDB,NA,Titular,55,0
5042,senado,NA,Alzira Ferreira Barros,Alzira Ferreira Barros,M,AM,PCdoB,NA,2º Suplente,55,0
4988,senado,NA,Ana Amélia de Lemos,Ana Amélia,F,RS,PP,NA,Titular,55,0
5046,senado,NA,Andrelina Barbosa da Cunha,Andrelina Barbosa da Cunha,M,AP,PSOL,NA,2º Suplente,55,0
5150,senado,NA,Antonio Carlos Rodrigues,Antonio Carlos Rodrigues,M,SP,PL,NA,1º Suplente,55,0
3,senado,NA,Antonio Carlos Valadares,Antonio Carlos Valadares,M,SE,PSB,NA,Titular,55,0
5134,senado,NA,Antônio Marcos Gavazzoni,Antônio Marcos Gavazzoni,M,SC,DEM,NA,2º Suplente,55,0
5032,senado,NA,Antônio Milton Pessoa Falcão Filho,Antônio Milton Pessoa Falcão Filho,M,AL,PP,NA,2º Suplente,55,0
5168,senado,NA,Aristavora de Souza Santos,Aristavora de Souza Santos,M,PB,PTB,NA,2º Suplente,55,0
5028,senado,NA,Armando José de Oliveira,Armando José de Oliveira,M,AC,PSC,NA,2º Suplente,55,0
715,senado,NA,Armando de Queiroz Monteiro Neto,Armando Monteiro,M,PE,PTB,NA,Titular,55,0
5164,senado,NA,Ataídes de Oliveira,Ataídes Oliveira,M,TO,PSDB,NA,1º Suplente,55,0
5138,senado,NA,Athos de Almeida Lopes,Athos de Almeida Lopes,M,SC,MDB,NA,2º Suplente,55,0
391,senado,NA,Aécio Neves da Cunha,Aécio Neves,M,MG,PSDB,NA,Titular,55,0
3823,senado,NA,Benedito de Lira,Benedito de Lira,M,AL,PP,NA,Titular,55,0
111,senado,NA,Blairo Borges Maggi,Blairo Maggi,M,MT,PL,NA,Titular,55,0
5136,senado,NA,Cesar Antonio de Souza,Cesar Antonio de Souza,M,SC,DEM,NA,1º Suplente,55,0
5108,senado,NA,José Aparecido dos Santos,Cidinho Santos,M,MT,PL,NA,1º Suplente,55,0
3881,senado,NA,Clovis Antônio Chaves Fecury,Clovis Fecury,M,MA,DEM,NA,1º Suplente,55,0
5044,senado,NA,Clécio Luis Vilhena Vieira,Clécio Luis Vilhena Vieira,M,AP,PSOL,NA,1º Suplente,55,0
3398,senado,NA,Cristovam Ricardo Cavalcanti Buarque,Cristovam Buarque,M,DF,CIDADANIA,NA,Titular,55,0
1757,senado,NA,Ivandro Moura Cunha Lima,Cunha Lima,M,PB,NA,NA,2º Suplente,55,0
5197,senado,NA,Cássio Rodrigues da Cunha Lima,Cássio Cunha Lima,M,PB,PSDB,NA,Titular,55,0
5132,senado,NA,Dalírio José Beber,Dalirio Beber,M,SC,PSDB,NA,1º Suplente,55,0
5199,senado,NA,José Gonzaga Sobrinho,Deca,M,PB,PSDB,NA,1º Suplente,55,0
3360,senado,NA,Delcídio do Amaral Gomez,Delcídio do Amaral,M,MS,S/Partido,NA,Titular,55,0
3399,senado,NA,Demóstenes Lazaro Xavier Torres,Demóstenes Torres,M,GO,S/Partido,NA,Titular,55,0
5178,senado,NA,Douglas Mauricio Ramos Cintra,Douglas Cintra,M,PE,PTB,NA,1º Suplente,55,0
16,senado,NA,Edison Lobão,Edison Lobão,M,MA,MDB,NA,Titular,55,0
5160,senado,NA,Edivaldo Edilson Pantoja da Silva,Edivaldo Edilson Pantoja da Silva,M,PA,PSOL,NA,1º Suplente,55,0
4721,senado,NA,Eduardo Alves do Amorim,Eduardo Amorim,M,SE,PSDB,NA,Titular,55,0
4767,senado,NA,Eduardo Benedito Lopes,Eduardo Lopes,M,RJ,PRB,NA,1º Suplente,55,0
5146,senado,NA,Elaine Matozinhos Ribeiro,Elaine Matozinhos Ribeiro,M,MG,PTB,NA,2º Suplente,55,0
4969,senado,NA,Elber Batalha de Goes,Elber Batalha,M,SE,PSB,NA,2º Suplente,55,0
5148,senado,NA,Elmiro Alves do Nascimento,Elmiro Alves do Nascimento,M,MG,DEM,NA,1º Suplente,55,0
5064,senado,NA,Emir Simão Sader,Emir Simão Sader,M,RJ,PT,NA,2º Suplente,55,0
5126,senado,NA,Enivaldo Euzébio dos Anjos,Enivaldo Euzébio dos Anjos,M,ES,PDT,NA,2º Suplente,55,0
612,senado,NA,Eunício Lopes de Oliveira,Eunício Oliveira,M,CE,MDB,NA,Titular,55,0
5026,senado,NA,Fernando Carvalho Lage,Fernando Carvalho Lage,M,AC,DEM,NA,1º Suplente,55,0
2632,senado,NA,Fernando de Castro Ribeiro,Fernando Ribeiro,M,PA,MDB,NA,1º Suplente,55,0
4873,senado,NA,José Eduardo Fleury Fernandes Costa,Fleury,M,GO,DEM,NA,2º Suplente,55,0
3634,senado,NA,Fernando de Souza Flexa Ribeiro,Flexa Ribeiro,M,PA,PSDB,NA,Titular,55,0
553,senado,NA,Francisco Garcia Rodrigues,Francisco Garcia,M,AM,NA,NA,1º Suplente,55,0
5054,senado,NA,Francisco Simeão Rodrigues Neto,Francisco Simeão Rodrigues Neto,M,PR,MDB,NA,1º Suplente,55,0
5416,senado,NA,Francisco Wilson Ribeiro,Francisco Wilson Ribeiro,M,PA,NA,NA,2º Suplente,55,0
5034,senado,NA,Fábio Luiz Araújo Lopes de Farias,Fábio Luiz Araújo Lopes de Farias,M,AL,MDB,NA,1º Suplente,55,0
5162,senado,NA,Félix Urano Gama de Souza,Félix Urano Gama de Souza,M,PA,PSOL,NA,2º Suplente,55,0
5024,senado,NA,Gabriel Maia Gelpke,Gabriel Maia Gelpke,M,AC,PSB,NA,2º Suplente,55,0
87,senado,NA,Garibaldi Alves Filho,Garibaldi Alves Filho,M,RN,MDB,NA,Titular,55,0
4522,senado,NA,Geovani Pinheiro Borges,Geovani Borges,M,AP,MDB,NA,1º Suplente,55,0
5088,senado,NA,Gilberto Corazza,Gilberto Corazza,M,RS,PT,NA,2º Suplente,55,0
30,senado,NA,Gilvam Pinheiro Borges,Gilvam Borges,M,AP,MDB,NA,Titular,55,0
5128,senado,NA,Gino Jose Ferreira,Gino Jose Ferreira,M,MS,DEM,NA,2º Suplente,55,0
5030,senado,NA,José Givago Raposo Tenório,Givago Tenório,M,AL,PP,NA,1º Suplente,55,0
5006,senado,NA,Gleisi Helena Hoffmann,Gleisi Hoffmann,F,PR,PT,NA,Titular,55,0
5100,senado,NA,Hélio José da Silva Lima,Hélio José,M,DF,PROS,NA,1º Suplente,55,0
5076,senado,NA,Ione Borges Ribeiro Guimarães,Ione Guimarães,F,GO,PTB,NA,1º Suplente,55,0
1754,senado,NA,Itamar Augusto Cautiero Franco,Itamar Franco,M,MG,NA,NA,Titular,55,0
5418,senado,NA,Ivanci Magno,Ivanci Magno,M,AP,NA,NA,1º Suplente,55,0
5004,senado,NA,Ivo Narciso Cassol,Ivo Cassol,M,RO,PP,NA,Titular,55,0
5022,senado,NA,Janduhy Max Freire de Andrade,Janduhy Max Freire de Andrade,M,RN,PL,NA,2º Suplente,55,0
