cnpj,id_deputado,valor_doado,exportadora,nome_deputado,partido_deputado,uf_deputado,razao_social,capital_social,uf,porte,cnae_tipo,cnae_codigo,cnae_descricao
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_fiscal,4623199,
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,8299799,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,7020400,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica"
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,5211799,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis"
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,4930203,Transporte rodoviário de produtos perigosos
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,4789099,Comércio varejista de outros produtos não especificados anteriormente
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,4689399,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,4683400,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo"
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,4632001,Comércio atacadista de cereais e leguminosas beneficiados
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,4622200,Comércio atacadista de soja
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,1061901,Beneficiamento de arroz
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,141501,"Produção de sementes certificadas, exceto de forrageiras para pasto"
07287096000160,136811,3000,sim,AFONSO HAMM,PP,RS,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,2000000,RS,5,cnae_secundario,111303,Cultivo de trigo
07810032000100,136811,5000,sim,AFONSO HAMM,PP,RS,CEREALISTA CORADINI LTDA,17000000,RS,5,cnae_fiscal,1061901,
07810032000100,136811,5000,sim,AFONSO HAMM,PP,RS,CEREALISTA CORADINI LTDA,17000000,RS,5,cnae_secundario,8299799,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
07810032000100,136811,5000,sim,AFONSO HAMM,PP,RS,CEREALISTA CORADINI LTDA,17000000,RS,5,cnae_secundario,6463800,"Outras sociedades de participação, exceto holdings"
07810032000100,136811,5000,sim,AFONSO HAMM,PP,RS,CEREALISTA CORADINI LTDA,17000000,RS,5,cnae_secundario,5211799,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis"
07810032000100,136811,5000,sim,AFONSO HAMM,PP,RS,CEREALISTA CORADINI LTDA,17000000,RS,5,cnae_secundario,4930203,Transporte rodoviário de produtos perigosos
07810032000100,136811,5000,sim,AFONSO HAMM,PP,RS,CEREALISTA CORADINI LTDA,17000000,RS,5,cnae_secundario,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
07810032000100,136811,5000,sim,AFONSO HAMM,PP,RS,CEREALISTA CORADINI LTDA,17000000,RS,5,cnae_secundario,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal"
