"texto","id","tema_id"
"Metas mais ambiciosas do que as atualmente comprometidas pelo Brasil junto ao Acordo de Paris, no sentido de reduzir as <strong>emissões de gases de efeito estufa<br></strong>",0,0
"Garantias da manutenção, demarcação e homologação de <strong>terras indígenas</strong> e titulação de <strong>territórios quilombolas</strong> no país",1,0
"Incentivos fiscais e tributários para a fabricação e aquisição de <strong>painéis solares</strong> no país",2,0
"Incentivos e subsídios para a fabricação e aquisição de <strong>carros elétricos</strong> no Brasil",3,0
"Flexibilização do <strong>registro e uso de agrotóxicos</strong> no Brasil (PL nº 6.299/2002, em debate no Congresso)",4,0
"Proibição da ocupação de <strong>cargos técnicos e diretivos dos órgãos ambientais</strong> por indicações políticas",5,0
"Eliminação de todos os subsídios concedidos aos <strong>combustíveis fósseis<br></strong>",6,0
"Priorização de políticas públicas para <strong>energias renováveis</strong> modernas, como a eólica e a solar",7,0
"Meta de <strong>descarbonização da economia brasileira</strong> até 2050",8,0
"Inserção da <strong>educação sobre mudanças climáticas</strong> no currículo base do ensino público",9,0
"Redução da <strong>maioridade penal</strong>",10,1
"Medidas afirmativas para defender a <strong>diversidade e a equidade de gênero</strong> nas esferas pública e privada do mercado de trabalho",11,1
"Manutenção da<strong> Política Nacional de Combate ao Trabalho Escravo</strong> e seus instrumentos, incluindo o <strong>Grupo Móvel</strong> do Trabalho Escravo e a <strong>Lista Suja</strong>",12,1
"Manutenção da <strong>Política Nacional de Combate ao Trabalho Infantil</strong> e proteção de crianças e adolescentes",13,1
"Empresas devem adotar <strong>políticas transparentes</strong> de remuneração salarial, pagando <strong>salários iguais a homens e mulheres</strong> que estejam desempenhando as mesmas funções",14,1
"<strong>Refugiados e imigrantes</strong> devem ter os mesmos direitos dos nacionalizados",15,1
"Revogação da Emenda Constitucional que estabelece o <strong>teto de gastos públicos</strong>",16,1
"Iniciativas legislativas que visem o <strong>enfrentamento</strong> de todas as formas de reprodução do <strong>racismo</strong>",17,1
"<strong>Cota para mulheres</strong> no Poder Legislativo, nos âmbitos federal, estadual e municipal",18,1
"<strong>Legalização do aborto</strong> até 12 semanas de gestação",19,1
"Crimes de <strong>caixa 2</strong>, <strong>enriquecimento ilícito</strong> e <strong>corrupção</strong> entre entes privados devem ser tipificados na legislação penal",20,2
"<strong>Regulamentação de acordos de leniência</strong>, viabilizando a participação dos órgãos públicos interessados no tema, de modo a promover a efetividade e a segurança jurídica",21,2
"Criação de um novo marco <strong>regulatório de compras e contratações públicas</strong> com base em princípios de transparência e integridade",22,2
"Mecanismos de <strong>incentivo e proteção ao denunciante</strong> devem ser regulamentados",23,2
"Revisão dos critérios de acesso ao <strong>foro privilegiado</strong>, para restringir o número de beneficiados",24,2
"Modificação do processo de <strong>escolha e nomeação de ministros do STF e Tribunais de Contas</strong>, com a adoção de critérios mais objetivos e técnicos",25,2
"Extinção da <strong>aposentadoria compulsória</strong> como pena para membros do Judiciário",26,2
"<strong>Partidos políticos</strong> devem estar sujeitos a regras que os tornem mais <strong>democráticos e transparentes</strong> em relação aos seus processos decisórios e ao uso dos recursos públicos que recebem",27,2
"Iniciativas legislativas para assegurar a prática da transparência, da prestação de contas e da participação cidadã, pilares do <strong>Governo Aberto</strong>",28,2
"<strong>Transparência</strong> dos dados financeiros das <strong>campanhas políticas e mandatos</strong> eleitorais",29,2
"Prioridade na <strong>implementação da ENIMPACTO</strong>, programa da sociedade civil com os setores público e privado, para gerar impacto sócio-ambiental e resultado financeiro positivo de forma sustentável",30,3
"Marco regulatório para favorecer o acesso a capital para <strong>negócios com impacto positivo</strong> social e ambiental",31,3
"Iniciativas legislativas para estimular as <strong>empresas</strong> a implementar ações concretas de <strong>preservação do meio ambiente</strong> e <strong>redução de desigualdades</strong>",32,3
"Políticas públicas e regulamentação para desenvolver as <strong>finanças sociais</strong> e ambiente institucional e normativo favorável aos <strong>negócios de impacto</strong>",33,3
"Estímulo à utilização de <strong>outros indicadores</strong>, além do resultado econômico, para medir o êxito de um negócio, tais como os benefícios gerados à sociedade e ao meio ambiente",34,3
"Norma específica para estabelecer requisitos de <strong>qualificação de empresas</strong> que integram suas atividades lucrativas com a <strong>promoção de bem-estar social e ambiental</strong>",35,3
"As <strong>empresas</strong> devem desempenhar papel fundamental na implementação dos <strong>objetivos de desenvolvimento sustentável</strong> tratados na Agenda 2030, com a qual o Brasil se comprometeu perante a ONU",36,3
"Regulamentação para estimular o desenvolvimento de <strong>tecnologias e inovações</strong> voltadas à <strong>resolução de problemas sociais</strong> em áreas como saúde, moradia, microfinanças, educação, água e saneamento",37,3
"Revogação da<strong> reforma trabalhista</strong> aprovada no Congresso Nacional em 2017",38,4
"Revogação da <strong>lei da terceirização</strong>",39,4
"Fim da <strong>reeleição</strong>",40,4
"Implantação do “<strong>Distritão</strong>” para eleger os candidatos com maior número de votos, alterando as regras atuais, em que os mais votados ajudam a eleger candidatos menos votados na coligação",41,4
"<strong>Voto Facultativo</strong>",42,4
"<strong>Doações</strong> direcionadas às organizações de interesse público devem ser <strong>tributadas</strong>",43,4
"Reforma tributária deverá considerar as especificidades das <strong>organizações sem fins lucrativos</strong> e de interesse público, além de estimular a ampliação de doações por pessoas físicas",44,4
"<strong>Reforma da previdência</strong> como proposta na PEC 287/16, que atualmente tramita no congresso",45,4
