id_atividade_economica,nome
1,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
2,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
3,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
4,ALOJAMENTO E ALIMENTAÇÃO
5,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
6,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
7,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS"
8,ATIVIDADES IMOBILIÁRIAS
9,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
10,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
11,CONSTRUÇÃO
12,EDUCAÇÃO
13,ELETRICIDADE E GÁS
14,INDÚSTRIAS DE TRANSFORMAÇÃO
15,INDÚSTRIAS EXTRATIVAS
16,INFORMAÇÃO E COMUNICAÇÃO
17,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS
18,OUTRAS ATIVIDADES DE SERVIÇOS
19,SAÚDE HUMANA E SERVIÇOS SOCIAIS
20,SERVIÇOS DOMÉSTICOS
21,"TRANSPORTE, ARMAZENAGEM E CORREIO"
